
Все фоновые задания выполнены

=== ОТЧЕТ О РАБОТЕ ПАРАЛЛЕЛЬНЫХ ПОТОКОВ ===

1. ОБЩАЯ ИНФОРМАЦИЯ
   - Дата и время начала: 25.11.2025 07:59:57
   - Дата и время окончания: 25.11.2025 08:12:37
   - Общая длительность: 760,00 сек
   - Базовое количество потоков (N): 6
   - Общее количество созданных потоков: 859
   - Средний вес договоров: 18,60
   - Целевой вес потока (Q1 + 1.5×IQR): 15,50
   - Общее количество договоров: 1546
   - Общее количество задач: 28757

2. РАСПРЕДЕЛЕНИЕ ПОТОКОВ
   Номер |   Вес |  Кол-во | Время запуск | Время завершени | Длительность | Статус    
     292 |    19 |       1 | 08:10:28     | 08:10:31        |     3,00 сек | Успешно   
     293 |    19 |       1 | 08:10:28     | 08:10:31        |     3,00 сек | Успешно   
     294 |    19 |       1 | 08:10:30     | 08:10:33        |     3,00 сек | Успешно   
     295 |    19 |       1 | 08:10:30     | 08:10:33        |     3,00 сек | Успешно   
     296 |    19 |       1 | 08:10:30     | 08:10:33        |     3,00 сек | Успешно   
     297 |    18 |       1 | 08:10:30     | 08:10:33        |     3,00 сек | Успешно   
     298 |    18 |       1 | 08:10:30     | 08:10:33        |     3,00 сек | Успешно   
     299 |    18 |       1 | 08:10:30     | 08:10:33        |     3,00 сек | Успешно   
     300 |    18 |       1 | 08:10:30     | 08:10:33        |     3,00 сек | Успешно   
     301 |    18 |       1 | 08:10:30     | 08:10:34        |     4,00 сек | Успешно   
     302 |    18 |       1 | 08:10:30     | 08:10:34        |     4,00 сек | Успешно   
     303 |    18 |       1 | 08:10:31     | 08:10:34        |     3,00 сек | Успешно   
     304 |    18 |       1 | 08:10:31     | 08:10:34        |     3,00 сек | Успешно   
     305 |    18 |       1 | 08:10:31     | 08:10:34        |     3,00 сек | Успешно   
     306 |    18 |       1 | 08:10:33     | 08:10:36        |     3,00 сек | Успешно   
     307 |    18 |       1 | 08:10:33     | 08:10:36        |     3,00 сек | Успешно   
     308 |    18 |       1 | 08:10:33     | 08:10:36        |     3,00 сек | Успешно   
     309 |    17 |       1 | 08:10:33     | 08:10:36        |     3,00 сек | Успешно   
     310 |    17 |       1 | 08:10:33     | 08:10:37        |     4,00 сек | Успешно   
     311 |    17 |       1 | 08:10:33     | 08:10:37        |     4,00 сек | Успешно   
     312 |    17 |       1 | 08:10:33     | 08:10:37        |     4,00 сек | Успешно   
     313 |    17 |       1 | 08:10:34     | 08:10:37        |     3,00 сек | Успешно   
     314 |    17 |       1 | 08:10:34     | 08:10:37        |     3,00 сек | Успешно   
     315 |    17 |       1 | 08:10:34     | 08:10:37        |     3,00 сек | Успешно   
     316 |    17 |       1 | 08:10:34     | 08:10:37        |     3,00 сек | Успешно   
     317 |    17 |       1 | 08:10:34     | 08:10:37        |     3,00 сек | Успешно   
     318 |    17 |       1 | 08:10:36     | 08:10:39        |     3,00 сек | Успешно   
     319 |    17 |       1 | 08:10:36     | 08:10:40        |     4,00 сек | Успешно   
     320 |    17 |       1 | 08:10:36     | 08:10:40        |     4,00 сек | Успешно   
     321 |    17 |       1 | 08:10:36     | 08:10:40        |     4,00 сек | Успешно   
     322 |    17 |       1 | 08:10:37     | 08:10:40        |     3,00 сек | Успешно   
     323 |    17 |       1 | 08:10:37     | 08:10:40        |     3,00 сек | Успешно   
     324 |    17 |       1 | 08:10:37     | 08:10:40        |     3,00 сек | Успешно   
     325 |    17 |       1 | 08:10:37     | 08:10:40        |     3,00 сек | Успешно   
     326 |    17 |       1 | 08:10:37     | 08:10:40        |     3,00 сек | Успешно   
     327 |    16 |       1 | 08:10:37     | 08:10:40        |     3,00 сек | Успешно   
     328 |    16 |       1 | 08:10:37     | 08:10:40        |     3,00 сек | Успешно   
     329 |    16 |       1 | 08:10:37     | 08:10:40        |     3,00 сек | Успешно   
     330 |    16 |       1 | 08:10:39     | 08:10:43        |     4,00 сек | Успешно   
     331 |    16 |       1 | 08:10:40     | 08:10:43        |     3,00 сек | Успешно   
     332 |    16 |       1 | 08:10:40     | 08:10:43        |     3,00 сек | Успешно   
     333 |    16 |       1 | 08:10:40     | 08:10:43        |     3,00 сек | Успешно   
     334 |    16 |       1 | 08:10:40     | 08:10:43        |     3,00 сек | Успешно   
     335 |    16 |       1 | 08:10:40     | 08:10:43        |     3,00 сек | Успешно   
     336 |    16 |       1 | 08:10:40     | 08:10:43        |     3,00 сек | Успешно   
     337 |    16 |       1 | 08:10:40     | 08:10:43        |     3,00 сек | Успешно   
     338 |    16 |       1 | 08:10:40     | 08:10:43        |     3,00 сек | Успешно   
     339 |    16 |       1 | 08:10:40     | 08:10:43        |     3,00 сек | Успешно   
     340 |    16 |       1 | 08:10:40     | 08:10:43        |     3,00 сек | Успешно   
     341 |    16 |       1 | 08:10:40     | 08:10:43        |     3,00 сек | Успешно   
     342 |    16 |       1 | 08:10:43     | 08:10:46        |     3,00 сек | Успешно   
     343 |    16 |       1 | 08:10:43     | 08:10:46        |     3,00 сек | Успешно   
     344 |    16 |       1 | 08:10:43     | 08:10:46        |     3,00 сек | Успешно   
     345 |    16 |       1 | 08:10:43     | 08:10:46        |     3,00 сек | Успешно   
     346 |    15 |       1 | 08:10:43     | 08:10:46        |     3,00 сек | Успешно   
     347 |    15 |       1 | 08:10:43     | 08:10:46        |     3,00 сек | Успешно   
     348 |    15 |       1 | 08:10:43     | 08:10:46        |     3,00 сек | Успешно   
     349 |    15 |       1 | 08:10:43     | 08:10:46        |     3,00 сек | Успешно   
     350 |    15 |       1 | 08:10:43     | 08:10:46        |     3,00 сек | Успешно   
     351 |    15 |       1 | 08:10:43     | 08:10:46        |     3,00 сек | Успешно   
     352 |    15 |       1 | 08:10:43     | 08:10:46        |     3,00 сек | Успешно   
     353 |    15 |       1 | 08:10:43     | 08:10:46        |     3,00 сек | Успешно   
     354 |    14 |       1 | 08:10:46     | 08:10:48        |     2,00 сек | Успешно   
     355 |    14 |       1 | 08:10:46     | 08:10:48        |     2,00 сек | Успешно   
     356 |    14 |       1 | 08:10:46     | 08:10:48        |     2,00 сек | Успешно   
     357 |    14 |       1 | 08:10:46     | 08:10:48        |     2,00 сек | Успешно   
     358 |    14 |       1 | 08:10:46     | 08:10:48        |     2,00 сек | Успешно   
     359 |    14 |       1 | 08:10:46     | 08:10:48        |     2,00 сек | Успешно   
     360 |    14 |       1 | 08:10:46     | 08:10:48        |     2,00 сек | Успешно   
     361 |    14 |       1 | 08:10:46     | 08:10:48        |     2,00 сек | Успешно   
     362 |    14 |       1 | 08:10:46     | 08:10:48        |     2,00 сек | Успешно   
     363 |    14 |       1 | 08:10:46     | 08:10:48        |     2,00 сек | Успешно   
     364 |    14 |       1 | 08:10:46     | 08:10:49        |     3,00 сек | Успешно   
     365 |    14 |       1 | 08:10:46     | 08:10:49        |     3,00 сек | Успешно   
     366 |    14 |       1 | 08:10:48     | 08:10:50        |     2,00 сек | Успешно   
     367 |    14 |       1 | 08:10:48     | 08:10:50        |     2,00 сек | Успешно   
     368 |    14 |       1 | 08:10:48     | 08:10:50        |     2,00 сек | Успешно   
     369 |    14 |       1 | 08:10:48     | 08:10:50        |     2,00 сек | Успешно   
     370 |    14 |       1 | 08:10:48     | 08:10:50        |     2,00 сек | Успешно   
     371 |    14 |       1 | 08:10:48     | 08:10:50        |     2,00 сек | Успешно   
     372 |    14 |       1 | 08:10:48     | 08:10:50        |     2,00 сек | Успешно   
     373 |    14 |       1 | 08:10:48     | 08:10:50        |     2,00 сек | Успешно   
     374 |    13 |       1 | 08:10:48     | 08:10:51        |     3,00 сек | Успешно   
     375 |    13 |       1 | 08:10:48     | 08:10:51        |     3,00 сек | Успешно   
     376 |    13 |       1 | 08:10:49     | 08:10:51        |     2,00 сек | Успешно   
     377 |    13 |       1 | 08:10:49     | 08:10:51        |     2,00 сек | Успешно   
     378 |    13 |       1 | 08:10:50     | 08:10:52        |     2,00 сек | Успешно   
     379 |    13 |       1 | 08:10:50     | 08:10:53        |     3,00 сек | Успешно   
     380 |    12 |       1 | 08:10:50     | 08:10:53        |     3,00 сек | Успешно   
     381 |    12 |       1 | 08:10:50     | 08:10:53        |     3,00 сек | Успешно   
     382 |    12 |       1 | 08:10:50     | 08:10:53        |     3,00 сек | Успешно   
     383 |    12 |       1 | 08:10:50     | 08:10:53        |     3,00 сек | Успешно   
     384 |    12 |       1 | 08:10:50     | 08:10:53        |     3,00 сек | Успешно   
     385 |    12 |       1 | 08:10:50     | 08:10:53        |     3,00 сек | Успешно   
     386 |    12 |       1 | 08:10:51     | 08:10:53        |     2,00 сек | Успешно   
     387 |    12 |       1 | 08:10:51     | 08:10:53        |     2,00 сек | Успешно   
     388 |    12 |       1 | 08:10:51     | 08:10:53        |     2,00 сек | Успешно   
     389 |    12 |       1 | 08:10:51     | 08:10:53        |     2,00 сек | Успешно   
     390 |    11 |       1 | 08:10:52     | 08:10:55        |     3,00 сек | Успешно   
     391 |    11 |       1 | 08:10:53     | 08:10:55        |     2,00 сек | Успешно   
     392 |    11 |       1 | 08:10:53     | 08:10:55        |     2,00 сек | Успешно   
     393 |    11 |       1 | 08:10:53     | 08:10:55        |     2,00 сек | Успешно   
     394 |    11 |       1 | 08:10:53     | 08:10:55        |     2,00 сек | Успешно   
     395 |    11 |       1 | 08:10:53     | 08:10:55        |     2,00 сек | Успешно   
     396 |    11 |       1 | 08:10:53     | 08:10:55        |     2,00 сек | Успешно   
     397 |    11 |       1 | 08:10:53     | 08:10:55        |     2,00 сек | Успешно   
     398 |    11 |       1 | 08:10:53     | 08:10:55        |     2,00 сек | Успешно   
     399 |    11 |       1 | 08:10:53     | 08:10:55        |     2,00 сек | Успешно   
     400 |    11 |       1 | 08:10:53     | 08:10:55        |     2,00 сек | Успешно   
     401 |    11 |       1 | 08:10:53     | 08:10:55        |     2,00 сек | Успешно   
     402 |    11 |       1 | 08:10:55     | 08:10:57        |     2,00 сек | Успешно   
     403 |    11 |       1 | 08:10:55     | 08:10:57        |     2,00 сек | Успешно   
     404 |    11 |       1 | 08:10:55     | 08:10:57        |     2,00 сек | Успешно   
     405 |    11 |       1 | 08:10:55     | 08:10:57        |     2,00 сек | Успешно   
     406 |    11 |       1 | 08:10:55     | 08:10:57        |     2,00 сек | Успешно   
     407 |    11 |       1 | 08:10:55     | 08:10:57        |     2,00 сек | Успешно   
     408 |    10 |       1 | 08:10:55     | 08:10:57        |     2,00 сек | Успешно   
     409 |    10 |       1 | 08:10:55     | 08:10:57        |     2,00 сек | Успешно   
     410 |    10 |       1 | 08:10:55     | 08:10:57        |     2,00 сек | Успешно   
     411 |    10 |       1 | 08:10:55     | 08:10:57        |     2,00 сек | Успешно   
     412 |    10 |       1 | 08:10:55     | 08:10:57        |     2,00 сек | Успешно   
     413 |    10 |       1 | 08:10:55     | 08:10:57        |     2,00 сек | Успешно   
     414 |    10 |       1 | 08:10:57     | 08:10:59        |     2,00 сек | Успешно   
     415 |    10 |       1 | 08:10:57     | 08:10:59        |     2,00 сек | Успешно   
     416 |    10 |       1 | 08:10:57     | 08:10:59        |     2,00 сек | Успешно   
     417 |    10 |       1 | 08:10:57     | 08:10:59        |     2,00 сек | Успешно   
     418 |    10 |       1 | 08:10:57     | 08:10:59        |     2,00 сек | Успешно   
     419 |    10 |       1 | 08:10:57     | 08:10:59        |     2,00 сек | Успешно   
     420 |    10 |       1 | 08:10:57     | 08:10:59        |     2,00 сек | Успешно   
     421 |    10 |       1 | 08:10:57     | 08:10:59        |     2,00 сек | Успешно   
     422 |    10 |       1 | 08:10:57     | 08:10:59        |     2,00 сек | Успешно   
     423 |    10 |       1 | 08:10:57     | 08:10:59        |     2,00 сек | Успешно   
     424 |    10 |       1 | 08:10:57     | 08:10:59        |     2,00 сек | Успешно   
     425 |    10 |       1 | 08:10:57     | 08:10:59        |     2,00 сек | Успешно   
     426 |    10 |       1 | 08:10:59     | 08:11:01        |     2,00 сек | Успешно   
     427 |    10 |       1 | 08:10:59     | 08:11:01        |     2,00 сек | Успешно   
     428 |    10 |       1 | 08:10:59     | 08:11:01        |     2,00 сек | Успешно   
     429 |     9 |       1 | 08:10:59     | 08:11:00        |     1,00 сек | Успешно   
     430 |     9 |       1 | 08:10:59     | 08:11:00        |     1,00 сек | Успешно   
     431 |     9 |       1 | 08:10:59     | 08:11:00        |     1,00 сек | Успешно   
     432 |     9 |       1 | 08:10:59     | 08:11:00        |     1,00 сек | Успешно   
     433 |     9 |       1 | 08:10:59     | 08:11:00        |     1,00 сек | Успешно   
     434 |     9 |       1 | 08:10:59     | 08:11:00        |     1,00 сек | Успешно   
     435 |     9 |       1 | 08:10:59     | 08:11:00        |     1,00 сек | Успешно   
     436 |     9 |       1 | 08:10:59     | 08:11:01        |     2,00 сек | Успешно   
     437 |     9 |       1 | 08:10:59     | 08:11:01        |     2,00 сек | Успешно   
     438 |     9 |       1 | 08:11:00     | 08:11:01        |     1,00 сек | Успешно   
     439 |     9 |       1 | 08:11:00     | 08:11:01        |     1,00 сек | Успешно   
     440 |     9 |       1 | 08:11:00     | 08:11:01        |     1,00 сек | Успешно   
     441 |     9 |       1 | 08:11:00     | 08:11:01        |     1,00 сек | Успешно   
     442 |     9 |       1 | 08:11:00     | 08:11:01        |     1,00 сек | Успешно   
     443 |     9 |       1 | 08:11:00     | 08:11:02        |     2,00 сек | Успешно   
     444 |     9 |       1 | 08:11:00     | 08:11:02        |     2,00 сек | Успешно   
     445 |     9 |       1 | 08:11:01     | 08:11:02        |     1,00 сек | Успешно   
     446 |     8 |       1 | 08:11:01     | 08:11:02        |     1,00 сек | Успешно   
     447 |     8 |       1 | 08:11:01     | 08:11:02        |     1,00 сек | Успешно   
     448 |     8 |       1 | 08:11:01     | 08:11:02        |     1,00 сек | Успешно   
     449 |     8 |       1 | 08:11:01     | 08:11:02        |     1,00 сек | Успешно   
     450 |     8 |       1 | 08:11:01     | 08:11:03        |     2,00 сек | Успешно   
     451 |     8 |       1 | 08:11:01     | 08:11:03        |     2,00 сек | Успешно   
     452 |     8 |       1 | 08:11:01     | 08:11:03        |     2,00 сек | Успешно   
     453 |     8 |       1 | 08:11:01     | 08:11:03        |     2,00 сек | Успешно   
     454 |     8 |       1 | 08:11:01     | 08:11:03        |     2,00 сек | Успешно   
     455 |     8 |       1 | 08:11:02     | 08:11:03        |     1,00 сек | Успешно   
     456 |     8 |       1 | 08:11:02     | 08:11:03        |     1,00 сек | Успешно   
     457 |     8 |       1 | 08:11:02     | 08:11:03        |     1,00 сек | Успешно   
     458 |     8 |       1 | 08:11:02     | 08:11:03        |     1,00 сек | Успешно   
     459 |     8 |       1 | 08:11:02     | 08:11:03        |     1,00 сек | Успешно   
     460 |     8 |       1 | 08:11:02     | 08:11:03        |     1,00 сек | Успешно   
     461 |     8 |       1 | 08:11:02     | 08:11:03        |     1,00 сек | Успешно   
     462 |     8 |       1 | 08:11:03     | 08:11:04        |     1,00 сек | Успешно   
     463 |     8 |       1 | 08:11:03     | 08:11:04        |     1,00 сек | Успешно   
     464 |     8 |       1 | 08:11:03     | 08:11:04        |     1,00 сек | Успешно   
     465 |     8 |       1 | 08:11:03     | 08:11:04        |     1,00 сек | Успешно   
     466 |     8 |       1 | 08:11:03     | 08:11:04        |     1,00 сек | Успешно   
     467 |     8 |       1 | 08:11:03     | 08:11:04        |     1,00 сек | Успешно   
     468 |     8 |       1 | 08:11:03     | 08:11:04        |     1,00 сек | Успешно   
     469 |     8 |       1 | 08:11:03     | 08:11:04        |     1,00 сек | Успешно   
     470 |     8 |       1 | 08:11:03     | 08:11:04        |     1,00 сек | Успешно   
     471 |     8 |       1 | 08:11:03     | 08:11:04        |     1,00 сек | Успешно   
     472 |     8 |       1 | 08:11:03     | 08:11:05        |     2,00 сек | Успешно   
     473 |     8 |       1 | 08:11:03     | 08:11:05        |     2,00 сек | Успешно   
     474 |     8 |       1 | 08:11:04     | 08:11:05        |     1,00 сек | Успешно   
     475 |     8 |       1 | 08:11:04     | 08:11:05        |     1,00 сек | Успешно   
     476 |     8 |       1 | 08:11:04     | 08:11:05        |     1,00 сек | Успешно   
     477 |     8 |       1 | 08:11:04     | 08:11:05        |     1,00 сек | Успешно   
     478 |     8 |       1 | 08:11:04     | 08:11:05        |     1,00 сек | Успешно   
     479 |     8 |       1 | 08:11:04     | 08:11:05        |     1,00 сек | Успешно   
     480 |     8 |       1 | 08:11:04     | 08:11:05        |     1,00 сек | Успешно   
     481 |     8 |       1 | 08:11:04     | 08:11:05        |     1,00 сек | Успешно   
     482 |     8 |       1 | 08:11:04     | 08:11:05        |     1,00 сек | Успешно   
     483 |     8 |       1 | 08:11:04     | 08:11:05        |     1,00 сек | Успешно   
     484 |     8 |       1 | 08:11:05     | 08:11:06        |     1,00 сек | Успешно   
     485 |     8 |       1 | 08:11:05     | 08:11:06        |     1,00 сек | Успешно   
     486 |     8 |       1 | 08:11:05     | 08:11:06        |     1,00 сек | Успешно   
     487 |     8 |       1 | 08:11:05     | 08:11:06        |     1,00 сек | Успешно   
     488 |     8 |       1 | 08:11:05     | 08:11:06        |     1,00 сек | Успешно   
     489 |     8 |       1 | 08:11:05     | 08:11:06        |     1,00 сек | Успешно   
     490 |     8 |       1 | 08:11:05     | 08:11:06        |     1,00 сек | Успешно   
     491 |     8 |       1 | 08:11:05     | 08:11:06        |     1,00 сек | Успешно   
     492 |     8 |       1 | 08:11:05     | 08:11:06        |     1,00 сек | Успешно   
     493 |     8 |       1 | 08:11:05     | 08:11:06        |     1,00 сек | Успешно   
     494 |     8 |       1 | 08:11:05     | 08:11:06        |     1,00 сек | Успешно   
     495 |     8 |       1 | 08:11:05     | 08:11:07        |     2,00 сек | Успешно   
     496 |     8 |       1 | 08:11:06     | 08:11:07        |     1,00 сек | Успешно   
     497 |     8 |       1 | 08:11:06     | 08:11:07        |     1,00 сек | Успешно   
     498 |     8 |       1 | 08:11:06     | 08:11:07        |     1,00 сек | Успешно   
     499 |     8 |       1 | 08:11:06     | 08:11:07        |     1,00 сек | Успешно   
     500 |     8 |       1 | 08:11:06     | 08:11:07        |     1,00 сек | Успешно   
     501 |     8 |       1 | 08:11:06     | 08:11:07        |     1,00 сек | Успешно   
     502 |     8 |       1 | 08:11:06     | 08:11:07        |     1,00 сек | Успешно   
     503 |     8 |       1 | 08:11:06     | 08:11:07        |     1,00 сек | Успешно   
     504 |     8 |       1 | 08:11:06     | 08:11:07        |     1,00 сек | Успешно   
     505 |     8 |       1 | 08:11:06     | 08:11:07        |     1,00 сек | Успешно   
     506 |     8 |       1 | 08:11:06     | 08:11:07        |     1,00 сек | Успешно   
     507 |     8 |       1 | 08:11:07     | 08:11:08        |     1,00 сек | Успешно   
     508 |     8 |       1 | 08:11:07     | 08:11:08        |     1,00 сек | Успешно   
     509 |     8 |       1 | 08:11:07     | 08:11:08        |     1,00 сек | Успешно   
     510 |     8 |       1 | 08:11:07     | 08:11:08        |     1,00 сек | Успешно   
     511 |     8 |       1 | 08:11:07     | 08:11:08        |     1,00 сек | Успешно   
     512 |     8 |       1 | 08:11:07     | 08:11:08        |     1,00 сек | Успешно   
     513 |     8 |       1 | 08:11:07     | 08:11:08        |     1,00 сек | Успешно   
     514 |    15 |       2 | 08:11:07     | 08:11:10        |     3,00 сек | Успешно   
     515 |    14 |       2 | 08:11:07     | 08:11:09        |     2,00 сек | Успешно   
     516 |    14 |       2 | 08:11:07     | 08:11:09        |     2,00 сек | Успешно   
     517 |    14 |       2 | 08:11:07     | 08:11:10        |     3,00 сек | Успешно   
     518 |    14 |       2 | 08:11:07     | 08:11:10        |     3,00 сек | Успешно   
     519 |    14 |       2 | 08:11:08     | 08:11:10        |     2,00 сек | Успешно   
     520 |    14 |       2 | 08:11:08     | 08:11:10        |     2,00 сек | Успешно   
     521 |    14 |       2 | 08:11:08     | 08:11:10        |     2,00 сек | Успешно   
     522 |    14 |       2 | 08:11:08     | 08:11:10        |     2,00 сек | Успешно   
     523 |    14 |       2 | 08:11:08     | 08:11:10        |     2,00 сек | Успешно   
     524 |    14 |       2 | 08:11:08     | 08:11:10        |     2,00 сек | Успешно   
     525 |    14 |       2 | 08:11:08     | 08:11:11        |     3,00 сек | Успешно   
     526 |    14 |       2 | 08:11:09     | 08:11:11        |     2,00 сек | Успешно   
     527 |    14 |       2 | 08:11:09     | 08:11:12        |     3,00 сек | Успешно   
     528 |    14 |       2 | 08:11:10     | 08:11:12        |     2,00 сек | Успешно   
     529 |    14 |       2 | 08:11:10     | 08:11:12        |     2,00 сек | Успешно   
     530 |    12 |       2 | 08:11:10     | 08:11:12        |     2,00 сек | Успешно   
     531 |    12 |       2 | 08:11:10     | 08:11:12        |     2,00 сек | Успешно   
     532 |    12 |       2 | 08:11:10     | 08:11:12        |     2,00 сек | Успешно   
     533 |    12 |       2 | 08:11:10     | 08:11:12        |     2,00 сек | Успешно   
     534 |    12 |       2 | 08:11:10     | 08:11:12        |     2,00 сек | Успешно   
     535 |    12 |       2 | 08:11:10     | 08:11:12        |     2,00 сек | Успешно   
     536 |    12 |       2 | 08:11:10     | 08:11:12        |     2,00 сек | Успешно   
     537 |    12 |       2 | 08:11:11     | 08:11:13        |     2,00 сек | Успешно   
     538 |    12 |       2 | 08:11:11     | 08:11:14        |     3,00 сек | Успешно   
     539 |    12 |       2 | 08:11:12     | 08:11:14        |     2,00 сек | Успешно   
     540 |    12 |       2 | 08:11:12     | 08:11:14        |     2,00 сек | Успешно   
     541 |    12 |       2 | 08:11:12     | 08:11:14        |     2,00 сек | Успешно   
     542 |    12 |       2 | 08:11:12     | 08:11:14        |     2,00 сек | Успешно   
     543 |    12 |       2 | 08:11:12     | 08:11:14        |     2,00 сек | Успешно   
     544 |    12 |       2 | 08:11:12     | 08:11:14        |     2,00 сек | Успешно   
     545 |    12 |       2 | 08:11:12     | 08:11:15        |     3,00 сек | Успешно   
     546 |    12 |       2 | 08:11:12     | 08:11:15        |     3,00 сек | Успешно   
     547 |    12 |       2 | 08:11:12     | 08:11:15        |     3,00 сек | Успешно   
     548 |    12 |       2 | 08:11:12     | 08:11:15        |     3,00 сек | Успешно   
     549 |    12 |       2 | 08:11:13     | 08:11:15        |     2,00 сек | Успешно   
     550 |    12 |       2 | 08:11:14     | 08:11:16        |     2,00 сек | Успешно   
     551 |    11 |       2 | 08:11:14     | 08:11:16        |     2,00 сек | Успешно   
     552 |    15 |       3 | 08:11:14     | 08:11:17        |     3,00 сек | Успешно   
     553 |    15 |       3 | 08:11:14     | 08:11:17        |     3,00 сек | Успешно   
     554 |    15 |       3 | 08:11:14     | 08:11:17        |     3,00 сек | Успешно   
     555 |    15 |       3 | 08:11:14     | 08:11:17        |     3,00 сек | Успешно   
     556 |    15 |       3 | 08:11:14     | 08:11:18        |     4,00 сек | Успешно   
     557 |    15 |       3 | 08:11:15     | 08:11:18        |     3,00 сек | Успешно   
     558 |    15 |       3 | 08:11:15     | 08:11:18        |     3,00 сек | Успешно   
     559 |    15 |       3 | 08:11:15     | 08:11:18        |     3,00 сек | Успешно   
     560 |    15 |       3 | 08:11:15     | 08:11:18        |     3,00 сек | Успешно   
     561 |    15 |       3 | 08:11:15     | 08:11:18        |     3,00 сек | Успешно   
     562 |    15 |       3 | 08:11:16     | 08:11:19        |     3,00 сек | Успешно   
     563 |    15 |       3 | 08:11:16     | 08:11:19        |     3,00 сек | Успешно   
     564 |    15 |       3 | 08:11:17     | 08:11:20        |     3,00 сек | Успешно   
     565 |    15 |       3 | 08:11:17     | 08:11:20        |     3,00 сек | Успешно   
     566 |    15 |       3 | 08:11:17     | 08:11:20        |     3,00 сек | Успешно   
     567 |    15 |       3 | 08:11:17     | 08:11:21        |     4,00 сек | Успешно   
     568 |    15 |       3 | 08:11:18     | 08:11:21        |     3,00 сек | Успешно   
     569 |    15 |       3 | 08:11:18     | 08:11:21        |     3,00 сек | Успешно   
     570 |    15 |       3 | 08:11:18     | 08:11:21        |     3,00 сек | Успешно   
     571 |    15 |       3 | 08:11:18     | 08:11:21        |     3,00 сек | Успешно   
     572 |    15 |       3 | 08:11:18     | 08:11:21        |     3,00 сек | Успешно   
     573 |    15 |       3 | 08:11:18     | 08:11:21        |     3,00 сек | Успешно   
     574 |    15 |       3 | 08:11:19     | 08:11:22        |     3,00 сек | Успешно   
     575 |    15 |       3 | 08:11:19     | 08:11:22        |     3,00 сек | Успешно   
     576 |    15 |       3 | 08:11:20     | 08:11:23        |     3,00 сек | Успешно   
     577 |    15 |       3 | 08:11:20     | 08:11:23        |     3,00 сек | Успешно   
     578 |    15 |       3 | 08:11:20     | 08:11:24        |     4,00 сек | Успешно   
     579 |    15 |       3 | 08:11:21     | 08:11:24        |     3,00 сек | Успешно   
     580 |    15 |       3 | 08:11:21     | 08:11:24        |     3,00 сек | Успешно   
     581 |    15 |       3 | 08:11:21     | 08:11:24        |     3,00 сек | Успешно   
     582 |    15 |       3 | 08:11:21     | 08:11:24        |     3,00 сек | Успешно   
     583 |    15 |       3 | 08:11:21     | 08:11:24        |     3,00 сек | Успешно   
     584 |    15 |       3 | 08:11:21     | 08:11:24        |     3,00 сек | Успешно   
     585 |    15 |       3 | 08:11:21     | 08:11:24        |     3,00 сек | Успешно   
     586 |    15 |       3 | 08:11:22     | 08:11:25        |     3,00 сек | Успешно   
     587 |    15 |       3 | 08:11:22     | 08:11:25        |     3,00 сек | Успешно   
     588 |    15 |       3 | 08:11:23     | 08:11:26        |     3,00 сек | Успешно   
     589 |    15 |       3 | 08:11:23     | 08:11:27        |     4,00 сек | Успешно   
     590 |    15 |       3 | 08:11:24     | 08:11:27        |     3,00 сек | Успешно   
     591 |    15 |       3 | 08:11:24     | 08:11:27        |     3,00 сек | Успешно   
     592 |    15 |       3 | 08:11:24     | 08:11:27        |     3,00 сек | Успешно   
     593 |    15 |       3 | 08:11:24     | 08:11:27        |     3,00 сек | Успешно   
     594 |    15 |       3 | 08:11:24     | 08:11:27        |     3,00 сек | Успешно   
     595 |    15 |       3 | 08:11:24     | 08:11:27        |     3,00 сек | Успешно   
     596 |    15 |       3 | 08:11:24     | 08:11:27        |     3,00 сек | Успешно   
     597 |    15 |       3 | 08:11:24     | 08:11:27        |     3,00 сек | Успешно   
     598 |    15 |       3 | 08:11:25     | 08:11:29        |     4,00 сек | Успешно   
     599 |    15 |       3 | 08:11:25     | 08:11:29        |     4,00 сек | Успешно   
     600 |    15 |       3 | 08:11:26     | 08:11:30        |     4,00 сек | Успешно   
     601 |    15 |       3 | 08:11:27     | 08:11:30        |     3,00 сек | Успешно   
     602 |    15 |       3 | 08:11:27     | 08:11:30        |     3,00 сек | Успешно   
     603 |    15 |       3 | 08:11:27     | 08:11:30        |     3,00 сек | Успешно   
     604 |    15 |       3 | 08:11:27     | 08:11:30        |     3,00 сек | Успешно   
     605 |    15 |       3 | 08:11:27     | 08:11:30        |     3,00 сек | Успешно   
     606 |    15 |       3 | 08:11:27     | 08:11:30        |     3,00 сек | Успешно   
     607 |    15 |       3 | 08:11:27     | 08:11:30        |     3,00 сек | Успешно   
     608 |    15 |       3 | 08:11:27     | 08:11:31        |     4,00 сек | Успешно   
     609 |    15 |       3 | 08:11:27     | 08:11:31        |     4,00 сек | Успешно   
     610 |    15 |       3 | 08:11:29     | 08:11:32        |     3,00 сек | Успешно   
     611 |    15 |       3 | 08:11:29     | 08:11:32        |     3,00 сек | Успешно   
     612 |    15 |       3 | 08:11:30     | 08:11:33        |     3,00 сек | Успешно   
     613 |    15 |       3 | 08:11:30     | 08:11:33        |     3,00 сек | Успешно   
     614 |    15 |       3 | 08:11:30     | 08:11:33        |     3,00 сек | Успешно   
     615 |    15 |       3 | 08:11:30     | 08:11:33        |     3,00 сек | Успешно   
     616 |    15 |       3 | 08:11:30     | 08:11:33        |     3,00 сек | Успешно   
